ingredient,approx_weight_grams
acorn squash - medium,682
ancho chiles - dried whole,40
anchovies,20
apple - small,114
apple,140
apples,140
apples - large,175
apples - medium,140
apricots,35
artichokes,550
assorted vegetables,not necessary
avocado,145
avocado - medium,145
avocados - large,195
bacon slices,8
bagel,105
baguette,250
baguette bread - large,300
bamboo skewers,not necessary
banana,118
bananas,118
overripe bananas - large,136
bay leaf,1
bay leaves - large,1
bay leaves,2
beef tenderloin steaks,454
beets - medium,125
bell pepper,119
bell pepper - large,164
bell pepper - medium,119
bell pepper - small,74
bell pepper (any color),119
bell pepper (red or green),119
bell peppers,119
bell peppers - large,164
bell peppers (any color),119
"bell pepper (red, yellow, or orange) - large",119
"bell peppers (red, yellow, or orange) - large",119
black pepper,not necessary
black peppercorns,0.073
bone-in skin-on chicken thighs,130
boneless pork loin chops,425
boneless skinless chicken breasts,298
boneless skinless chicken breasts - large,0.5
boneless skinless chicken thigh,130
boneless skinless chicken thighs,130
boneless skinless veal cutlets,114
buns,100
butternut squash,1001
butternut squash - medium,666
cantaloupe - medium,552
carrot,61
carrot - large,72
carrot - medium,61
carrot - small,50
carrots,61
carrots - large,72
carrots - medium,61
catfish fillets,113
cayenne pepper,not necessary
cedar plank,not necessary
celery stalk,40
celery stalks,40
celery stalk - large,64
celery stalks - large,64
cherry tomatoes,17
chicken,575
chicken breast,298
chicken breasts,298
chicken breasts - large,369
chicken breasts - medium,298
chicken drumsticks - skin-on,95
chicken thighs,126
chicken thighs - skin-on thighs,126
chicken thighs bone-in skin-on,126
chipotle peppers in adobo sauce,3
cocoa powder,not necessary
cod fillets,90
cooked chicken breast,298
cooked rice,not necessary
cooked spaghetti or pasta,not necessary
coriander leaves,not necessary
corn tortillas,28
corn tortillas - large,44
corn tortillas - small,18
crackers,20
cremini mushrooms,86
cremini mushrooms - medium,86
cube steak,113
cube steaks,113
cucumber,201
cucumber - large,280
cucumber - medium,201
cucumbers,201
cucumbers - medium,201
daikon radish - small,338
dried chilies de arbol,25
dried corn husks (approx. 8 inches long),add to exclude list
dried red chili peppers,57
dried red chilies,57
duck confit legs,319
egg,60
egg - large,70
egg white - large,42
egg whites,35.3
egg whites - large,42
egg yolk,14.8
egg yolk - large,17.1
egg yolks,14.8
eggplant,193
eggplant - large,250
eggplant - medium,193
eggs,60
eggs - large,70
english cucumber - medium,300
english cucumber (seedless preferred) - medium,300
english muffins,67
fennel bulb,234
flour tortilla,45
flour tortillas,45
flour tortillas - large,58
fresh basil leaves,0.5
fresh cilantro,not necessary
fresh dill or chives,not necessary
fresh figs,50
fresh thyme sprig,2
fresh thyme sprigs,2
frozen banana,118
garlic clove - small,5
ginger,not necessary
graham crackers,15
granola bar,41
granulated sugar,not necessary
grapefruit,500
green bell pepper,119
green bell pepper - large,164
green bell pepper - medium,164
green chiles,20
green onion,15
green onions,15
green onions - medium,15
green tomatoes - medium,123
guajillo chiles - dried,50
guava,55
gyoza wrappers,10
haddock fillets,170
halibut fillets,190
ham hock,1000
hamburger buns,85
hard-boiled eggs,50
honeydew melon,2700
hotdog buns,58
jalapeno pepper,20
jalapeno pepper - medium,20
jalapeno pepper - small,15
jalapeno peppers,20
japanese eggplant (or regular eggplant) - medium,567
jumbo pasta shells,12
key limes - large,85
kiwi,76
kiwis  ,76
kiwi - medium,76
kiwis - medium,76
korean cucumber,500
korean pear - medium,375
korean radish (or daikon) - medium,800
korean zucchini - hobak - medium,400
ladyfingers,30
lasagna noodles,38
leek,150
leeks,150
leeks - large,322
lemon,71
lemon - large,84
lemon wedges,10
lettuce,not necessary
lettuce leaves,8
lime,67
lime - large,67
lime wedges,10
limes,67
lychee,20
mango,315
mint leaves,0.1
mulato chiles - dried whole,75
mushrooms,20
naan,90
nectarines,142
nori seaweed,not necessary
onion,110
onion - large,150
onion - medium,110
onion - small,70
onion (large),150
onion- large,150
optional fillings,not necessary
orange,135
orange bell pepper - medium,119
oranges,135
papaya,750
paprika,not necessary
parchment paper,add to exclude list
parsley,need to know which recipe
pasilla chiles - dried,30
passion fruit,60
peaches,148
pear,178
pears,178
pie crust,174
pie crusts,174
piloncillo cone (unrefined cane sugar cone) - whole,200
pineapple,390
pita bread,57
pizza dough,265
plums,66
poblano peppers,17
pork chops (bone-in or boneless),425
pork loin chops - boneless,131
pork tenderloin,681
portobello mushrooms - large,186
potato - medium,167
potatoes,167
potatoes - large,300
potatoes - medium,167
potatoes - small,113
potatoes (large),300
prosciutto slices,15
protein bar,55
pumpkin - small,340
red bell pepper,119
red bell pepper - large,164
red bell pepper - medium,119
red chili - small,25
red chili pepper - small,25
red onion,200
red onion - large,250
red onion - medium,200
red onion - small,150
red onions - small,150
ribeye steak,281
ribeye steaks,281
rice paper wrappers,10
ripe tomato - large,180
ripe tomatoes - large,180
roma tomatoes,123
roma tomato - large,180
roma tomatoes - large,180
roma tomatoes - medium,123
round dumpling wrappers,10
russet potatoes - large,454
russet potatoes - medium,173
salt,probably not necessary
sardines,30
scallop shells - large,60
sea bass fillet,110
sea bass fillets,110
seedless English cucumbers - large,450
sesame seeds,not necessary
shallot - medium,25
shallots,25
shallots - large,42
shiitake mushrooms,19
shiitake mushrooms - dried,14
shiitake mushrooms - large,23
shishito peppers,7
sichuan peppercorns,0.1
sichuan peppercorns - whole,0.1
skewers,add to exclude list
spaghetti squash - medium,2724
star fruit - medium,91
star fruit - medium-sized,91
star fruit - large,190
sweet chili sauce,not necessary
sweet potato - large,395
sweet potato - medium,164
sweet potatoes,164
sweet potatoes - large,395
sweet potatoes - medium,164
taco shells,11
tangerines - medium,88
thyme sprigs,10
tilapia fillets,170
tomato,123
tomato - large,180
tomato - medium,123
tomatoes,123
tomatoes - large,180
tomatoes - medium,123
tomatoes (medium),123
tonkatsu sauce,not necessary
tortillas,45
tortillas - large,61
trout fillets,200
tuna steak,200
turnips - large,183
tzatziki sauce,not necessary
vegetable oil,not necessary
vidalia onion - large,148
wasabi paste,not necessary
white onion - large,150
white onion - medium,110
whole wheat tortilla,45
yellow bell pepper,119
yellow onion,110
yellow onion - large,150
yellow onion - medium,110
yellow onions,110
yellow onions - large,150
yellow squash - medium,342
zucchini,180
zucchini - medium,180
zucchini flowers,16
