Original Name from Recipes,"Corresponding FNDDS Name ""Main Food Description""",Same or Not,ingredient_id,Database
"""a""",,,Not necessary,
"""aburage (fried tofu pockets)""",,,41421010,FNDDS_nutrients
"""acorn squash""",,,11493,FNDDS_ingredients
"""active dry yeast""",,,18374,FNDDS_ingredients
"""ajitsuke tamago (marinated soft-boiled eggs)""",,,31102000,FNDDS_nutrients
"""all-purpose flour""",,,20081,FNDDS_ingredients
"""allspice""","""allspice""",Same,171315,FNDDS_ingredients
"""almond butter""","""Almond butter""",Same,12195,FNDDS_ingredients
"""almond milk""",,,14091,FNDDS_ingredients
"""almonds""",,,12061,FNDDS_ingredients
"""ancho chile powder""",,,2009,FNDDS_ingredients
"""ancho chiles - dried whole""",,,169396,MyFood
"""anchovies""","""anchovies""",Same,26101110,FNDDS_nutrients
"""anchovy fillets packed in olive oil""",,,15002,FNDDS_ingredients
"""aonori (dried seaweed flakes)""",,,168457,FNDDS_ingredients
"""apple - small""",,,9003,FNDDS_ingredients
"""apple cider vinegar""",,,2048,FNDDS_ingredients
"""apple juice""",,,9517,FNDDS_ingredients
"""apple""",,,9003,FNDDS_ingredients
"""apples - large""",,,9003,FNDDS_ingredients
"""apples - medium""",,,9003,FNDDS_ingredients
"""apples""",,,9003,FNDDS_ingredients
"""apricot or peach jam""",,,19297,FNDDS_ingredients
"""apricot preserves""","""apricot preserves""",Same,19297,FNDDS_ingredients
"""apricots""","""apricots""",Same,63103010,FNDDS_nutrients
"""arborio rice""",,,20055,FNDDS_ingredients
"""artichoke hearts (canned or frozen)""",,,11008,FNDDS_ingredients
"""artichoke hearts""",,,11008,FNDDS_ingredients
"""artichokes""",,,11008,FNDDS_ingredients
"""arugula""",,,11959,FNDDS_ingredients
"""asparagus spears""",,,11011,FNDDS_ingredients
"""asparagus""",,,11011,FNDDS_ingredients
"""assorted meats""",,,Not necessary,
"""assorted shellfish""",,,26300000,FNDDS_nutrients
"""assorted vegetables""",,,788616,MyFood
"""avocado - large""",,,9037,FNDDS_ingredients
"""avocado - medium""",,,9037,FNDDS_ingredients
"""avocado oil""",,,9037,FNDDS_ingredients
"""avocado slices""",,,9037,FNDDS_ingredients
"""avocado""",,,9037,FNDDS_ingredients
"""avocados - large""",,,9037,FNDDS_ingredients
"""b""",,,Not necessary,
"""baby arugula""",,,11959,FNDDS_ingredients
"""baby back ribs""",,,10003,FNDDS_ingredients
"""baby bok choy""",,,11116,FNDDS_ingredients
"""baby corn""",,,168525,FNDDS_ingredients
"""baby potatoes (red or white)""",,,11367,FNDDS_ingredients
"""baby spinach""",,,11457,FNDDS_ingredients
"""bacon lardons""",,,167914,MyFood
"""bacon slices""",,,167915,MyFood
"""bacon""",,,167916,MyFood
"""bagel""","""Bagel""",Same,51180010,FNDDS_nutrients
"""baguette bread - large""",,,18029,FNDDS_ingredients
"""baguette""","""baguette""",Same,18029,FNDDS_ingredients
"""baked beans""","""Baked beans""",Same,41201010,FNDDS_nutrients
"""baked tofu""",,,16127,FNDDS_ingredients
"""baking powder""",,,18369,FNDDS_ingredients
"""baking soda""",,,18372,FNDDS_ingredients
"""balsamic glaze""",,,1,custom_table
"""balsamic vinaigrette""",,,172241,FNDDS_ingredients
"""balsamic vinegar""",,,172241,FNDDS_ingredients
"""bamboo shoots""",,,11028,FNDDS_ingredients
"""bamboo skewers""",,,Not necessary,
"""banana""",,,9040,FNDDS_ingredients
"""bananas""",,,9040,FNDDS_ingredients
"""barbecue sauce""","""Barbecue sauce""",Same,74406010,FNDDS_nutrients
"""basil leaves""",,,2029,FNDDS_ingredients
"""basmati rice""",,,20044,FNDDS_ingredients
"""bay leaf""",,,170917,FNDDS_ingredients
"""bay leaves""",,,170917,FNDDS_ingredients
"""bean sprouts""",,,788013,MyFood
"""beef - cooked""",,,21000100,FNDDS_nutrients
"""beef bones""",,,21302000,FNDDS_nutrients
