ingredient,density
alfalfa sprouts,0.14
all-purpose flour,0.5
allspice,0.404
almond butter,0.911
almond milk,1.03
almonds,0.481
ancho chile powder,0.972
apple cider vinegar,1.216
apricot or peach jam,1.352
apricot preserves,1.352
arborio rice,0.88
artichoke hearts,0.708333333
artichoke hearts (canned or frozen),0.708333333
artichokes (marinated and quartered),0.708333333
arugula,0.084
avocado oil,0.91
baby arugula,0.084
baby corn,0.696
baby spinach,0.12
baking powder,1
baking soda,2.2
balsamic glaze,1.216
balsamic vinaigrette,1.016
balsamic vinegar,1.3
bamboo shoots,0.644
barbecue sauce,1.208
basil leaves,0.1
basmati rice,0.828
bean sprouts,0.36
beef,1.02
beef - cooked,1.036
beef broth,1
beer,1.1
bell pepper,0.5
bell peppers,0.5
bell peppers (any color),0.5
bell peppers (red and green),0.5
beni shoga (red pickled ginger),1
black beans,0.592
black beans (cooked and seasoned),0.592
black pepper,0.568
black grapes,0.604
black olives,1.06
black peppercorns,0.568
black raspberries,0.568
blackberries,0.608
blue cheese,0.948
blue cheese crumbles,0.948
blueberries,0.624
boiling water,1
bok choy,0.36
brandy,0.948
bread cubes,0.156
breadcrumbs,0.508
broccoli florets,0.36
broth,1
brown rice,0.76
brown sugar,0.928
brown sugar - packed,0.928
brown lentils,0.812
buffalo sauce,0.956
butter,0.911
buttermilk,1.032
cabbage,0.376
cabbage (green or purple),0.376
cabbage - shredded,0.28
caesar dressing,0.992
cajun seasoning,0.508
cannellini beans,1.1
canola oil,0.92
capers,0.58
carrot,1.04
carrot - shredded,0.18
carrots,1.04
carrots - diced,1.04
carrots - shredded,0.18
cashew nuts,0.481
cashews,0.481
cashews - roasted unsalted,0.481
cauliflower florets,0.36
cayenne pepper,0.36
celery,0.404
celery seed,0.44
cheddar cheese - shredded,0.472
cheddar cheese,1.076
cheerios,0.125
cheerios oat crunch,0.125
cheese,1.076
cherry tomatoes,0.928
cherry tomatoes (halved),0.928
chia seeds,0.88
chicken - cooked,1.036
chicken broth,1
chicken breast - cooked and shredded,0.956
chicken broth - low-sodium,1
chicken broth broth,1
chihuahua cheese - shredded,0.472
chili garlic sauce,1.216
chili powder,0.54
chili flakes,0.488
chipotle peppers in adobo sauce,1.016
chives,0.204
chocolate chips,0.712
chocolate protein powder,0.5
chopped cilantro,0.252
chopped cooked chorizo,0.78
chopped cooked spinach,0.804
chopped fresh cilantro,0.252
chopped fresh parsley,0.252
chopped cooked ham,0.568
chopped fresh chives,0.204
chopped fresh chives or dill,0.204
chopped fresh herbs,0.252
"chopped fresh herbs (parsley, basil, oregano)",0.252
chopped green cabbage,0.296
chopped green chiles,1.016
chopped parsley,0.252
chopped napa cabbage,0.376
"chopped vegetables (such as onions, peppers, mushrooms)",0.5
chopped walnuts,0.481
cilantro,0.068
cilantro - chopped,0.068
cilantro leaves,0.068
cinnamon,0.528
clam juice,1.032
clarified butter (ghee),0.95
coarse sea salt,1.216
cocoa powder,0.364
coconut flakes,0.508
coconut milk,1.024
coconut oil,0.92
coconut water,1.036
cognac,1.004
coke classic,1
cold unsalted butter,0.911
cold water,1
cooked vegetables (chopped),0.98
cooked and shredded chicken,not necessary
cooked and shredded meat,not necessary
cooked chicken,1.036
cooked chicken breast,1.036
cooked rice,0.768
cooked rice (preferably cold),0.768
cooked vermicelli noodles (thin rice noodles),0.744
cooked white rice,0.768
coriander,0.068
coriander powder,0.404
corn,0.696
corn kernels,0.696
corn kernels (fresh or frozen),0.696
corn syrup,1.388
cornichons,0.628
cornmeal,0.664
cornstarch,0.54
cotija cheese,0.508
couscous,0.732
cream cheese,0.992
cream of tartar,0.608
cream of wheat,0.732
creamy peanut butter,1.084
crema mexicana (mexican sour cream),1.016
crispy tortilla strips,0.236
croutons,0.168
crumbled queso fresco cheese,0.516
crushed breadcrumbs,0.508
crushed red pepper flakes,0.404
crushed tomatoes (canned),1.024
cucumber,0.44
cumin,0.404
cumin powder,0.404
cumin seeds,0.404
curry powder,0.428
dark chocolate chips,0.712
dashi stock,1
day-old bread,0.58
diced cooked ham,0.596
diced cherry tomatoes,1.064
diced tomatoes,1.064
dijon mustard,1.016
dill,0.208
dill pickles,0.656
ditalini pasta,0.472
dried anchovies - myulchi,0.099583333
dried basil,0.304
dried black soybeans (seoritae),0.392
dried chickpeas,0.716
dried fruit,0.472
dried green lentils,0.812
dried hijiki seaweed,0.57
dried oregano,0.204
dried thyme,0.292
dried cranberries,0.676
dried dill,0.208
dried navy beans,0.896
dried parsley,0.108
dried wakame seaweed,0.34
dry white wine,0.992
dry red wine,0.996
edamame,0.656
egg noodles,0.16
enchilada sauce,1.048
espresso,1.016
extra virgin olive oil,0.948
extra-virgin olive oil,0.948
fava beans,0.636
fava beans (fresh or frozen),0.636
feta cheese,0.472
fish sauce,1.216
fish stock,1.032
five-spice powder,0.324
flour,0.5
fresh cilantro,0.068
fresh dill,0.036
fresh epazote leaves,0.404
fresh arugula,0.084
fresh basil,0.1
fresh basil leaves,0.1
fresh breadcrumbs,0.44
fresh cranberries,0.424
fresh flat-leaf parsley,0.256
fresh ginger,0.404
fresh gooseberries,0.6
fresh mint,0.108
fresh mint leaves,0.108
fresh oregano,0.204
fresh oregano leaves,0.204
fresh parsley,0.256
fresh pesto,1.048
fresh rosemary,0.116
fresh spinach,0.128
fresh tarragon leaves,0.2
fresh thyme,0.164
fresh thyme leaves,0.164
freshly grated nutmeg,0.472
fried onion rings,79
frozen corn,0.696
frozen lima beans,0.7
frozen mango chunks,0.696
frozen mixed berries,0.688
frozen peaches,0.252
frozen peas,0.676
frozen pineapple chunks,1.036
frozen strawberries,1.076
garam masala,0.488
garlic,0.576
garlic powder,0.646666667
ginger,0.404
ginger-garlic paste,1.084
goat cheese,0.948
gochugaru (korean chili flakes),1
gochujang (korean chili paste),1.2
goji berries,0.373333333
gorgonzola cheese,0.948
