Ingredient,Quantity,Unit,Additional Information
Part A,"For the Chicken Skewers"
Boneless skinless chicken thighs,1,pound,(cut into 1-inch cubes)
Chicken breasts,1,pound,"(optional, cut into 1-inch cubes)"
Green onions,6,,(trimmed and cut into 1-inch pieces)
Yakitori skewers,as needed,,(bamboo skewers soaked in water for at least 30 minutes)
Part B,For the Yakitori Tare Marinade"
Mirin,0.25,cup
Sake,0.25,cup
Soy sauce,0.25,cup
Sugar,2,tablespoons
Honey,1,tablespoon
Part C,"For the Glaze (optional)"
Soy sauce,1,tablespoon
Honey,1,tablespoon
Part D,"For Serving (Optional):
Shichimi togarashi (Japanese seven-spice powder),,,"(optional, to taste)"
Lemon wedges, for squeezing,,(optional)
Aonori (dried seaweed flakes),,,"(optional, for garnishing)"
