Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
water,1,cup,,0.0,0.0,0.0,0.0
cornmeal,1/3,cup,,147.2133,31.2686,3.3021,1.4599
milk,1/4,cup,,37.21,2.9158,1.9215,1.9947
coconut milk,1/4,cup,,138.0,3.324,1.374,14.304
white sugar,3,tablespoons,,146.286,37.7924,0.0,0.0
vanilla extract,1/2,teaspoon,,6.047999999999999,0.2656,0.0013,0.0013
salt,1/2,teaspoon,,-,-,-,-
nutmeg,1/4,teaspoon,ground,2.8875,0.2711,0.0321,0.1997
cinnamon,1/4,teaspoon,ground,-,-,-,-
raisin,2,tablespoons,,62.2875,16.401,0.6992,0.0949
