Step,
1,'Preheat grill to medium-high heat (around 375-400°F).'
2,'Prepare artichokes by cutting off the top quarter and trimming the stem.'
3,"Using kitchen shears, trim the sharp tips of the leaves.'"
4,'Slice the lemon in half.'
5,"In a small bowl, combine olive oil, juice from half of the lemon, minced garlic, salt, and black pepper.'"
6,"Brush the artichokes with the olive oil mixture, ensuring they are well coated.'"
7,"Place artichokes on the grill, cut side down, and grill for about 5-7 minutes, until lightly charred.'"
8,'Flip the artichokes and grill for an additional 5-7 minutes.'
9,"Meanwhile, prepare the aioli by mixing mayonnaise with the juice from the other half of the lemon.'"
10,'Serve grilled artichokes with lemon garlic aioli for dipping.'
