Step Number,Instruction
1,"Preheat the oven to 425°F (220°C)."
2,"Wash and scrub the sweet potatoes thoroughly."
3,"Pierce each sweet potato several times with a fork."
4,"Rub the sweet potatoes with olive oil and place them on a baking sheet."
5,"Sprinkle with salt, black pepper, and ground cinnamon."
6,"Bake for 45-50 minutes, or until the sweet potatoes are tender and easily pierced with a fork."
7,"Remove the sweet potatoes from the oven and let them cool slightly."
8,"Slice the sweet potatoes open and fluff the insides with a fork."
9,"Drizzle with honey and add a pat of butter to each sweet potato."
10,"Serve warm and enjoy!"
