1,"In a medium bowl, toss the chicken strips with cornstarch, soy sauce, oyster sauce, Shaoxing wine (or sherry) if using, and white pepper. Marinate for at least 15 minutes, or up to 30 minutes for extra flavor."
2,"Heat the vegetable oil in a wok or large skillet over high heat until shimmering hot. Add the chicken and cook for 3-4 minutes, stirring frequently, until golden brown and cooked through."
3,"Remove the cooked chicken from the pan with a slotted spoon and set aside on a plate."
4,"Reduce the heat to medium and add the garlic and ginger to the pan. Cook for 30 seconds, or until fragrant."
5,"Add the julienned carrots and red bell pepper to the pan and stir-fry for 2-3 minutes, or until slightly softened."
6,"Push the vegetables to the side of the pan and pour in the vegetable broth. Scrape up any browned bits from the bottom of the pan."
7,"Bring the broth to a simmer and cook for 1 minute."
8,"Add the cooked chicken back to the pan along with the chow mein noodles."
9,"Toss everything together to combine and ensure the noodles are well coated with the sauce."
10,"If using, stir in the bean sprouts and cook for an additional minute, or until heated through."
11,"Garnish with chopped green onions and serve immediately."
