Step,"Instruction"
1,"Cut white fish fillets into large chunks."
2,"Chop onion, garlic, celery, and carrot."
3,"Heat olive oil in a large pot over medium heat."
4,"Sauté onion, garlic, celery, and carrot until softened."
5,"Add dry white wine, chicken broth, crushed tomatoes, bay leaf, thyme, oregano, salt, and pepper to the pot."
6,"Bring to a boil, then reduce heat and simmer for 15 minutes."
7,"Add clams, mussels, and shrimp to the pot. Cover and cook for 5-7 minutes, or until shellfish open."
8,"Discard any unopened shellfish."
9,"Add white fish to the pot and cook for 5 minutes, or until cooked through."
10,"Remove bay leaf and thyme sprig."
11,"Serve immediately with crusty bread and garnish with parsley."
