number,meal_type,meal_slot,tags,title,ingredients,instructions,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),Water (g)
200001,recipe,,Vegetable Side Dishes,Honey Glazed Carrots,"['Carrots', 'Butter', 'Honey', 'Salt', 'Black pepper']","{'1': 'Peel the carrots and cut them into diagonal slices.', '2': 'In a skillet melt the butter over medium heat.', '3': '""Add the carrots to the skillet and saute until they start to soften', '4': 'Drizzle the honey over the carrots and toss to coat.', '5': 'Season with salt and black pepper.', '6': '""Continue to cook for another 5-7 minutes', '7': 'Serve hot as a side dish.'}",500.073,4.563,68.19200000000001,0,12.761,25.749,13.825,5.1240000000000006,1.219,70.5,223.2,4014.893,15771.994,37630.497,2.4,4.536,1161.196,0.301,0.274,4.494999999999999,0.633,0.0,88.282,88.282,88.282,46.216,0.0,0,26.912,0.12,2.994,0,61.974,157.78500000000005,166.557,55.631,0,0,0.217,0.694,1473.994,471.378,0.0,0.0,0.0,0
200002,recipe,,Vegetable Side Dishes,Roasted Carrots with Garlic and Herbs,"['Carrots', 'Olive oil', 'Garlic', 'Fresh thyme', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 400°F (200°C).', '2': 'Peel the carrots and cut them into sticks or rounds.', '3': '""In a bowl', '4': 'Spread the carrots in a single layer on a baking sheet.', '5': '""Roast in the preheated oven for 20-25 minutes', '6': 'Remove from the oven and serve immediately as a flavorful side dish.'}",464.553,4.615,45.146,0,12.863,31.112,4.805999999999999,20.581,3.3190000000000004,0.0,0.0,3787.493,15771.394,37580.397,0.0,4.536,1162.156,0.311,0.27,4.501,0.7,0.0,86.36200000000001,86.36200000000001,86.36200000000001,41.398,0.0,0,27.362,0.0,9.263000000000002,0,67.77600000000001,160.84500000000003,167.937,55.931,0,0,0.2219999999999999,1.042,1475.8539999999998,314.598,0.0,0.0,0.0,0
200003,recipe,,Vegetable Side Dishes,Carrot and Ginger Stir-Fry,"['Carrots', 'Vegetable oil', 'Fresh ginger', 'Soy sauce', 'Honey', 'Green onions']","{'1': 'Peel the carrots and slice them into thin rounds or strips.', '2': 'Heat vegetable oil in a large skillet or wok over medium-high heat.', '3': '""Add minced ginger to the skillet and stir-fry for about 30 seconds', '4': '""Add the sliced carrots to the skillet and continue to stir-fry for 3-4 minutes', '5': '""In a small bowl', '6': 'Pour the soy sauce mixture over the carrots in the skillet and toss to coat evenly.', '7': '""Continue to stir-fry for another 2-3 minutes', '8': 'Remove from heat and garnish with sliced green onions.', '9': 'Serve hot as a tasty side dish.'}",517.473,6.705,57.293,0,12.971,31.26,4.266,12.174,12.618,0.0,0.0,3787.493,15771.394,37580.097,0.0,4.536,1161.196,0.309,0.319,5.135999999999999,0.674,0.0,90.682,90.682,90.682,45.796,0.0,0,26.837,0.0,7.848000000000001,0,92.664,160.485,209.157,76.931,0,0,0.222,0.724,1589.794,1961.478,0.0,0.0,0.0,0
200004,recipe,,Vegetable Side Dishes,Roasted Garlic Parmesan Cauliflower,"['Cauliflower', 'Olive oil', 'Garlic powder', 'Grated Parmesan cheese', 'Salt', 'Black pepper', 'Fresh parsley']","{'1': 'Preheat the oven to 425°F (220°C).', '2': '""In a large bowl', '3': 'Spread the cauliflower in a single layer on a baking sheet.', '4': '""Roast in the preheated oven for 25-30 minutes', '5': 'Remove from the oven and garnish with chopped fresh parsley before serving.', '6': 'Enjoy hot as a delicious side dish.'}",552.0,11.29,29.224,0,11.76,46.646,7.748,30.989,4.4430000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.294,0.353,2.981,1.082,0.0,335.16,335.16,335.16,260.619,0.0,0,283.416,0.0,9.866,0,102.84,129.81,258.72,88.2,0,0,0.229,3.528,1758.57,177.3,0.0,0.0,0.0,0
200005,recipe,,Vegetable Side Dishes,Creamy Mashed Cauliflower,"['Cauliflower', 'Butter', 'Cream cheese', 'Garlic powder', 'Salt', 'Black pepper', 'Chives']","{'1': '""Steam or boil the cauliflower florets until very tender', '2': 'Drain the cauliflower and transfer it to a food processor.', '3': '""Add butter', '4': '""Pulse until the cauliflower is smooth and creamy', '5': 'Transfer the mashed cauliflower to a serving dish.', '6': 'Garnish with chopped chives before serving.', '7': 'Enjoy as a creamy and low-carb alternative to mashed potatoes.'}",633.9,19.038,58.566,0,13.822,39.544,18.394,8.010000000000002,6.77,76.75,237.575,307.8,1.225,839.625,2.4,0.0,130.905,0.59,0.5760000000000001,5.223999999999999,1.153,46.875,388.16,467.535,435.035,272.996,0.15,0,300.846,0.182,1.464,0,177.3,219.51,357.72,112.025,0,0,0.332,16.173000000000002,1906.32,803.25,0.0,0.0,0.0,0
200006,recipe,,Vegetable Side Dishes,Spicy Roasted Cauliflower,"['Cauliflower', 'Olive oil', 'Paprika', 'Cumin', 'Cayenne pepper', 'Salt', 'Black pepper', 'Lemon juice']","{'1': 'Preheat the oven to 425°F (220°C).', '2': '""In a large bowl', '3': 'Spread the cauliflower in a single layer on a baking sheet.', '4': '""Roast in the preheated oven for 20-25 minutes', '5': 'Remove from the oven and drizzle with lemon juice before serving.', '6': 'Enjoy hot as a flavorful and spicy side dish.'}",552.0,11.29,29.224,0,11.76,46.646,7.748,30.989,4.4430000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.294,0.353,2.981,1.082,0.0,335.16,335.16,335.16,260.619,0.0,0,283.416,0.0,9.866,0,102.84,129.81,258.72,88.2,0,0,0.229,3.528,1758.57,177.3,0.0,0.0,0.0,0
200007,recipe,,Vegetable Side Dishes,Balsamic Roasted Brussels Sprouts,"['Brussels sprouts', 'Olive oil', 'Balsamic vinegar', 'Honey', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 400°F (200°C).', '2': 'Trim the ends of the Brussels sprouts and cut them in half.', '3': '""In a large bowl', '4': 'Spread the Brussels sprouts in a single layer on a baking sheet.', '5': '""Roast in the preheated oven for 25-30 minutes', '6': 'Remove from the oven and serve hot as a delicious side dish.'}",645.645,15.376,52.956,0,17.266000000000002,46.361,7.265,30.893,4.955,0.0,0.0,172.365,27.216,2041.164,0.0,0.0,7212.113,0.63,0.414,3.397,0.997,0.0,276.991,276.991,276.991,87.101,0.0,0,385.628,0.0,13.388000000000002,0,814.558,191.859,313.57800000000003,104.626,0,0,0.323,7.377,1772.723,114.898,0.0,0.0,0.0,0
200008,recipe,,Vegetable Side Dishes,Garlic Parmesan Brussels Sprouts,"['Brussels sprouts', 'Olive oil', 'Garlic', 'Grated Parmesan cheese', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 400Â°F (200Â°C).', '2': 'Trim the ends of the Brussels sprouts and cut them in half.', '3': '""In a large bowl', '4': 'Spread the Brussels sprouts in a single layer on a baking sheet.', '5': '""Roast in the preheated oven for 20-25 minutes', '6': 'Remove from the oven and serve hot as a flavorful side dish.'}",612.915,15.927,43.13399999999999,0,17.479,46.395,7.273,30.894,4.977,0.0,0.0,172.365,27.216,2041.614,0.0,0.0,7213.553,0.648,0.418,3.442,1.104,0.0,276.961,276.961,276.961,88.859,0.0,0,386.453,0.0,13.395,0,814.711,207.249,326.748,106.576,0,0,0.345,8.139,1801.013,115.828,0.0,0.0,0.0,0
200009,recipe,,Vegetable Side Dishes,Maple Glazed Brussels Sprouts with Bacon,"['Brussels sprouts', 'Bacon', 'Maple syrup', 'Olive oil', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 400°F (200°C).', '2': 'Trim the ends of the Brussels sprouts and cut them in half.', '3': '""In a large bowl', '4': 'Spread the Brussels sprouts in a single layer on a baking sheet.', '5': '""Roast in the preheated oven for 20-25 minutes', '6': 'Remove from the oven and sprinkle with cooked and crumbled bacon before serving.', '7': 'Enjoy hot as a sweet and savory side dish.'}",520.245,15.331,54.27,0,17.236,31.406,4.936999999999999,20.63,3.535,0.0,0.0,172.365,27.216,2041.164,0.0,0.0,7212.113,0.63,0.411,3.379,0.993,0.0,276.691,276.691,276.691,86.726,0.0,0,385.553,0.0,10.256,0,810.6579999999999,191.409,312.978,104.626,0,0,0.321,7.346999999999999,1765.073,114.898,0.0,0.0,0.0,0
200010,recipe,,Vegetable Side Dishes,Garlic Roasted Broccoli,"['Broccoli florets', 'Olive oil', 'Garlic cloves,  minced', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 425Â°F (220Â°C).', '2': '""In a large bowl', '3': 'Spread the broccoli in a single layer on a baking sheet.', '4': '""Roast in the preheated oven for 20-25 minutes', '5': 'Remove from the oven and serve hot as a flavorful side dish.'}",270.0,0.0,0.0,0,0.0,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0,0.0,0.0,6.264,0,7.8,0.3,0.0,0.0,0,0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0
