life_stage_group,gender,age_days_lower,age_days_upper,vit_a_iu_rda,vit_a_iu_ul,vit_c_mg_rda,vit_c_mg_ul,vit_d_iu_ai,vit_d_iu_ul,vit_e_mg_rda,vit_e_mg_ul,vit_k_ug_ai,vit_k_ug_ul,vit_b1_thiamin_mg_rda,vit_b1_thiamin_mg_ul,vit_b2_riboflavin_mg_rda,vit_b2_riboflavin_mg_ul,vit_b3_niacin_mg_rda,vit_b3_niacin_mg_ul,vit_b6_mg_rda,vit_b6_mg_ul,vit_b9_folate_ug_rda,vit_b9_folate_ug_ul,vit_b12_ug_rda,vit_b12_ug_ul,vit_b5_pantothenicacid_mg_ai,vit_b5_pantothenic_acid_mg_ul,vit_b7_biotin_ug_ai,vit_b7_biotin_ug_ul,vit_choline_mg_ai,vit_choline_mg_ul,min_arsenic_ug_ul,min_boron_mg_ul,min_calcium_mg_ai,min_calcium_mg_ul,min_chromium_ug_ai,min_chromium_ug_ul,min_copper_mg_rda,min_copper_mg_ul,min_fluoride_mg_ai,min_fluoride_mg_ul,min_iodine_ug_rda,min_iodine_ug_ul,min_iron_mg_rda,min_iron_mg_ul,min_magnesium_mg_rda,min_magnesium_mg_ul,min_manganese_mg_rda,min_manganese_mg_ul,min_molybdenum_mg_rda,min_molybdenum_mg_ul,min_nickel_mg_ul,min_phosphorus_mg_rda,min_phosphorus_g_ul,min_selenium_ug_rda,min_selenium_ug_ul,min_silicon_ug_ul,min_sulfate_mg_ul,min_vanadium_mg_ul,min_zinc_mg_rda,min_zinc_mg_ul,min_potassium_mg_ai,min_potassium_ul,min_sodium_mg_ai,min_sodium_mg_ul,min_chloride_mg_ai,min_chloride_g_ul
infant 0-6 months,NA,0,180,120,180,40,ND,400,1000,4,ND,2,ND,0.2,ND,0.3,ND,2,ND,0.1,ND,65,ND,0.4,ND,1.7,ND,5,ND,125,ND,ND,ND,210,ND,0.2,ND,0.2,ND,0.01,0.7,110,ND,0.27,40,30,ND,0.003,ND,2,ND,ND,100,ND,15,45,ND,ND,ND,2,4,400,ND,120,ND,0.18,ND
infant 7-12 months,NA,181,365,150,180,50,ND,400,1000,5,ND,2.5,ND,0.3,ND,0.4,ND,4,ND,0.3,ND,80,ND,0.5,ND,1.8,ND,6,ND,150,ND,ND,ND,270,ND,5.5,ND,0.22,ND,0.5,0.9,130,ND,11,40,75,ND,0.6,ND,3,ND,ND,275,ND,20,60,ND,ND,ND,3,5,700,ND,370,ND,0.57,ND
child 1-3 years,NA,366,1461,90,180,15,400,600,2000,6,200,30,ND,0.5,ND,0.5,ND,6,10,0.5,30,150,300,0.9,ND,2,ND,8,ND,200,1000,ND,3,500,2500,11,ND,0.34,1,0.7,1.3,90,200,7,40,80,ND,1.2,2,17,300,0.2,460,3,20,90,ND,ND,ND,3,7,300,ND,1000,1500,1.5,2.3
child 4-8 years,NA,1462,3287,120,270,25,650,600,2000,7,300,55,ND,0.6,ND,0.6,ND,8,15,0.6,40,200,400,1.2,ND,3,ND,12,ND,250,1000,ND,6,800,2500,15,ND,0.44,3,1,2.2,90,300,10,40,130,ND,1.5,3,22,600,0.3,500,3,30,150,ND,ND,ND,5,12,3800,ND,1200,1900,1.9,2.9
male 9-13 years,male,3288,5113,180,510,45,1200,600,2000,11,600,60,ND,0.9,ND,0.9,ND,12,20,1,60,300,600,1.8,ND,4,ND,20,ND,375,2000,ND,11,1300,2500,25,ND,0.7,5,2,10,120,600,8,40,240,ND,1.9,6,34,1100,0.6,1250,4,40,280,ND,ND,ND,8,23,4500,ND,1500,2200,2.3,3.4
male 14-18 years,male,5114,6939,270,840,75,1800,600,2000,15,800,75,ND,1.2,ND,1.3,ND,16,30,1.3,80,400,800,2.4,ND,5,ND,25,ND,550,3000,ND,17,1300,2500,35,ND,0.89,8,3,10,150,900,11,45,410,ND,2.2,9,43,1700,1,1250,4,55,400,ND,ND,ND,11,34,4700,ND,1500,2300,2.3,3.6
male 19-30 years,male,6940,11322,270,900,90,2000,600,2000,15,1000,120,ND,1.2,ND,1.3,ND,16,35,1.3,100,400,1000,2.4,ND,5,ND,30,ND,550,3500,ND,20,1000,2500,35,ND,0.9,10,4,10,150,1100,8,45,400,ND,2.3,11,45,2000,1,700,4,55,400,ND,ND,ND,11,40,4700,ND,1500,2300,2.3,3.6
male 31-50 years,male,11323,18615,270,900,90,2000,600,2000,15,1000,120,ND,1.2,ND,1.3,ND,16,35,1.3,100,400,1000,2.4,ND,5,ND,30,ND,550,3500,ND,20,1000,2500,35,ND,0.9,10,4,10,150,1100,8,45,420,ND,2.3,11,45,2000,1,700,4,55,400,ND,ND,ND,11,40,4700,ND,1500,2300,2.3,3.6
male 51-70 years,male,18616,25932,270,900,90,2000,600,2000,15,1000,120,ND,1.2,ND,1.3,ND,16,35,1.7,100,400,1000,2.4,ND,5,ND,30,ND,550,3500,ND,20,1200,2500,30,ND,9,10,4,10,150,1100,8,45,420,ND,2.3,11,45,2000,1,700,4,55,400,ND,ND,ND,11,40,4700,ND,1300,2300,2,3.6
male >70 years,male,25933,50000,270,900,90,2000,800,2000,15,1000,120,ND,1.2,ND,1.3,ND,16,35,1.7,100,400,1000,2.4,ND,5,ND,30,ND,550,3500,ND,20,1200,2500,30,ND,0.9,10,4,10,150,1100,8,45,420,ND,2.3,11,45,2000,1,700,3,55,400,ND,ND,ND,11,40,4700,ND,1200,2200,1.8,3.6
