ingredient,recommendation
active yeast,neutral
allspice,neutral
almond extract,neutral
almond,preferred
apple juice,neutral
apple,preferred
apricot,preferred
artichoke heart,neutral
asparagus spear,preferred
asparagus,preferred
avocado,preferred
baby carrot,preferred
baby spinach,preferred
bacon,neutral
baking potato,preferred
baking powder,neutral
baking soda,neutral
balsamic vinegar,neutral
banana,preferred
barbecue sauce,neutral
basil leaf,preferred
basil,preferred
basmati rice,preferred
bay leaf,neutral
bean sprout,preferred
bean,preferred
beef bouillon cube,neutral
beef bouillon,neutral
beef brisket,neutral
beef broth,neutral
beef stock,neutral
beef tenderloin,neutral
beef,neutral
beer,neutral
beet,preferred
bell pepper,preferred
black bean,preferred
black olive,preferred
black pepper,neutral
black peppercorn,neutral
blueberry,preferred
brandy,limit
bread crumb,neutral
bread flour,neutral
bread,preferred
breadcrumb,neutral
broccoli floret,preferred
broccoli,preferred
brown rice,preferred
brown sugar,neutral
butter,neutral
buttermilk,neutral
butternut squash,preferred
button mushroom,preferred
cabbage,preferred
cake flour,neutral
canola oil,neutral
caper,neutral
caraway seed,neutral
cardamom powder,neutral
cardamom seed,neutral
cardamom,neutral
carrot,preferred
cashew nut,preferred
cashew,preferred
caster sugar,neutral
catsup,neutral
cauliflower,preferred
cayenne pepper,neutral
cayenne,neutral
celery rib,preferred
celery salt,neutral
celery seed,neutral
celery,preferred
cheddar cheese,neutral
cheese,neutral
cherry tomato,preferred
chick pea,preferred
chicken bouillon cube,neutral
chicken bouillon,neutral
chicken breast half,preferred
chicken breast,preferred
chicken broth,neutral
chicken stock,neutral
chicken thigh,preferred
chicken,preferred
chickpea,preferred
chili powder,neutral
chili sauce,neutral
chive,neutral
chocolate chip,neutral
chocolate,neutral
chutney,neutral
cider vinegar,neutral
cilantro leaf,neutral
cilantro,neutral
cinnamon,neutral
clove,neutral
cocoa powder,neutral
cocoa,neutral
coconut milk,neutral
coconut oil,neutral
coconut,neutral
cod,preferred
coffee,neutral
cold water,neutral
confectioner ' sugar,neutral
confectioner sugar,neutral
cooking oil,neutral
cooking spray,neutral
cooking wine,neutral
coriander leaf,preferred
coriander seed,neutral
coriander,preferred
corn kernel,preferred
corn oil,neutral
corn syrup,neutral
corn tortilla,preferred
corn,preferred
cornflour,neutral
cornmeal,neutral
cornstarch,neutral
cottage cheese,preferred
couscous,preferred
crabmeat,neutral
cream cheese,neutral
cream chicken soup,neutral
cream mushroom soup,neutral
cream tartar,neutral
cream,neutral
creme fraiche,neutral
crisco,neutral
cucumber,preferred
cumin powder,neutral
cumin seed,neutral
cumin,neutral
curry powder,neutral
dark brown sugar,neutral
dark chocolate,neutral
dark rum,neutral
